time_ms,mass_g
9805.0,-6.5969999999999995
9888.0,-6.92
9970.0,-7.058
10053.0,-7.0120000000000005
10136.0,-6.965999999999999
10219.0,-7.473
10301.0,-7.75
10384.0,-7.75
10467.0,-7.888
10550.0,-8.027
10633.0,-8.534
10715.0,-8.58
10798.0,-8.534
10881.0,-8.765
10963.0,-9.225999999999999
11045.0,-9.733
11128.0,-9.687
11211.0,-10.424999999999999
11294.0,-10.841
11376.0,-11.209999999999999
11459.0,-11.994
11542.0,-12.87
11625.0,-13.838999999999999
11707.0,-14.485
11790.0,-14.991999999999999
11873.0,-15.546
11956.0,-15.731
12039.0,-16.053
12121.0,-16.515
12204.0,-17.022000000000002
12286.0,-17.53
12369.0,-17.668
12451.0,-17.668
12534.0,-17.622
12617.0,-17.207
12700.0,-17.207
12782.0,-17.207
12865.0,-17.253
12948.0,-17.437
13031.0,-17.622
13113.0,-17.806
13196.0,-18.314
13279.0,-18.729
13362.0,-19.098
13445.0,-19.928
13527.0,-20.39
13609.0,-20.482
13692.0,-20.666999999999998
13775.0,-20.759
13857.0,-20.436
13940.0,-19.559
14023.0,-18.914
14106.0,-18.083000000000002
14188.0,-16.422
14271.0,-15.039
14354.0,-13.562
14437.0,-11.902
14520.0,-10.795
14602.0,-9.641
14685.0,-8.765
14768.0,-8.442
14851.0,-7.933999999999999
14932.0,-7.381
15015.0,-7.427
15098.0,-7.981
15181.0,-7.795999999999999
15263.0,-7.519
15346.0,-7.381
15429.0,-7.381
15512.0,-7.427
15594.0,-7.427
15677.0,-7.473
15760.0,-7.242
15843.0,-7.427
15926.0,-7.473
16008.0,-7.289
16091.0,-7.103999999999999
16174.0,-6.872999999999999
16257.0,-6.55
16338.0,-5.951
16421.0,-5.351
16504.0,-4.335999999999999
16587.0,-3.69
16669.0,-3.4139999999999997
16752.0,-3.1369999999999996
16835.0,-2.814
16918.0,-2.3529999999999998
17000.0,-1.891
17083.0,-1.7069999999999999
17166.0,-1.7069999999999999
17249.0,-1.3379999999999996
17332.0,-1.5679999999999996
17414.0,-1.5679999999999996
17497.0,-1.5679999999999996
17580.0,-1.3379999999999996
17662.0,-1.153
17744.0,-0.8299999999999996
17827.0,-0.5529999999999999
17910.0,0.4150000000000005
17993.0,1.4300000000000002
18075.0,2.214
18158.0,3.0450000000000004
18241.0,3.8750000000000004
18324.0,5.075000000000001
18406.0,6.32
18489.0,8.534
18572.0,10.333
18655.0,12.133
18738.0,14.254999999999999
18820.0,16.008
18903.0,17.853
18985.0,19.513
19068.0,21.451
19150.0,22.743000000000002
19233.0,24.265
19316.0,26.387
19399.0,28.048000000000002
19481.0,29.847
19564.0,31.877000000000002
19647.0,33.445
19730.0,34.875
19813.0,36.444
19895.0,37.32
19978.0,38.243
20061.0,38.519
20144.0,39.165
20226.0,39.165
20308.0,39.165
20391.0,38.704
20474.0,38.335
20557.0,37.781
20639.0,37.781
20722.0,38.058
20805.0,38.473
20888.0,39.027
20970.0,40.272
21053.0,40.734
21136.0,41.426
21219.0,42.118
21301.0,42.948
21384.0,44.009
21467.0,45.439
21550.0,46.777
21633.0,47.838
21714.0,48.576
21797.0,49.222
21880.0,50.237
21963.0,51.482
22045.0,53.189
22128.0,55.219
22211.0,56.833
22294.0,58.217
22376.0,58.863
22459.0,59.186
22542.0,59.463
22625.0,59.694
22708.0,59.601
22790.0,59.509
22873.0,59.555
22956.0,59.324
23038.0,58.955
23120.0,58.356
23203.0,57.756
23286.0,57.11
23369.0,56.188
23451.0,55.496
23534.0,54.711
23617.0,53.604
23700.0,52.405
23783.0,51.205
23865.0,49.868
23948.0,48.484
24031.0,47.238
24114.0,46.316
24196.0,45.393
24279.0,44.701
24361.0,43.455
24444.0,42.21
24526.0,41.149
24609.0,40.134
24692.0,39.996
24775.0,39.996
24858.0,40.18
24940.0,40.688
25023.0,41.287
25106.0,42.21
25189.0,44.839
25271.0,53.927
25354.0,75.332
25437.0,109.469
25520.0,153.293
25602.0,200.946
25684.0,241.126
25767.0,272.034
25850.0,293.90000000000003
25933.0,304.556
26015.0,307.97
26098.0,307.97
26181.0,305.663
26264.0,300.497
26346.0,298.19
26429.0,298.19
26512.0,302.711
26595.0,312.35200000000003
26677.0,325.961
26760.0,341.83
26843.0,357.053
26926.0,370.385
27009.0,382.195
27090.0,392.528
27173.0,405.26
27256.0,424.543
27339.0,445.21
27421.0,460.571
27504.0,468.782
27587.0,472.427
27670.0,476.625
27753.0,482.483
27835.0,494.201
27918.0,512.699
28001.0,533.689
28084.0,561.275
28166.0,601.04
28249.0,658.6569999999999
28332.0,728.453
28414.0,801.6629999999999
28496.0,869.0139999999999
28579.0,919.2969999999999
28662.0,954.7249999999999
28745.0,981.435
28828.0,1000.81
28910.0,1011.1899999999999
28993.0,1016.9559999999999
29076.0,1016.9559999999999
29159.0,1016.1719999999999
29241.0,1003.117
29324.0,982.035
29407.0,947.529
29490.0,891.111
29572.0,808.721
29655.0,687.212
29737.0,533.596
29820.0,376.01300000000003
29903.0,236.975
