time_s,ax,ay,az,gx,gy,gz,temperature_c,pressure_hpa,altitude_m
0.6304993629455566,-3156.0,-16.0,14256.0,-59.0,130.0,-164.0,24.21,881.25,1161.93
1.1105661392211914,-3144.0,-140.0,14360.0,-48.0,143.0,-181.0,24.21,881.25,1162.0
1.6688072681427002,-3144.0,-92.0,14344.0,-4.0,147.0,-177.0,24.21,881.22,1162.2
2.1254141330718994,-3116.0,-56.0,14360.0,26.0,65.0,-177.0,24.21,881.22,1162.29
2.689138174057007,-3024.0,2828.0,14016.0,1317.0,95.0,249.0,24.21,881.22,1162.28
3.1155524253845215,-2564.0,4532.0,13588.0,2122.0,-60.0,-366.0,24.21,881.24,1162.02
3.6335220336914062,-1884.0,7424.0,12396.0,3663.0,-598.0,435.0,24.21,881.23,1162.15
4.124152421951294,-980.0,9372.0,10940.0,-340.0,40.0,-377.0,24.21,881.23,1162.12
4.638749599456787,-2532.0,1692.0,14488.0,-6938.0,-194.0,-1773.0,24.21,881.24,1162.04
5.203534364700317,-3180.0,-136.0,14296.0,-62.0,111.0,-194.0,24.21,881.21,1162.31
5.626521587371826,-3048.0,-60.0,14316.0,-58.0,140.0,-165.0,24.21,881.22,1162.22
6.156724214553833,-3112.0,-156.0,14308.0,-51.0,147.0,-177.0,24.21,881.22,1162.2
6.60477089881897,-3140.0,-84.0,14328.0,-37.0,148.0,-161.0,24.21,881.21,1162.35
7.149806976318359,-3208.0,-112.0,14240.0,-38.0,134.0,-180.0,24.21,881.22,1162.26
7.664438962936401,-3084.0,0.0,14248.0,-38.0,166.0,-166.0,24.21,881.22,1162.23
8.119799375534058,-3088.0,-52.0,14416.0,-49.0,147.0,-177.0,24.2,881.24,1162.09
8.643850803375244,-3056.0,-32.0,14180.0,-63.0,145.0,-168.0,24.21,881.21,1162.3
9.094414234161377,-3168.0,-88.0,14220.0,-33.0,152.0,-178.0,24.21,881.22,1162.23
9.643122434616089,-3228.0,-68.0,14244.0,-47.0,146.0,-179.0,24.21,881.23,1162.2
10.170289278030396,-3144.0,-140.0,14232.0,-65.0,135.0,-169.0,24.21,881.22,1162.27
10.608294486999512,-3096.0,16.0,14236.0,-50.0,136.0,-166.0,24.2,881.23,1162.15
